Branch,Component,Gender,hip_height,neck_height,chest_circumference,chest_height,foot_length,functional_leg_length,hand_length,shoulder_circumference,sitting_height,span,waist_circumference,waist_depth,weight_kg,height_m
Combat Arms,Army National Guard,Female,1347,1417,1101,1132,253,1055,185,1082,887,1654,1016,243,82,1.657
Combat Arms,Army National Guard,Female,1312,1405,910,1155,243,1025,179,1070,868,1672,847,195,68.5,1.628
Combat Arms,Army National Guard,Female,1365,1437,903,1208,254,1118,187,990,842,1708,803,185,57.4,1.66
Combat Arms,Army National Guard,Female,1376,1425,878,1170,237,980,184,1020,914,1722,733,170,61.6,1.683
Combat Service Support,Army National Guard,Female,1376,1444,846,1197,244,1072,185,1033,856,1695,866,187,67.8,1.672
Combat Service Support,Army National Guard,Female,1317,1391,836,1157,234,1032,172,950,847,1645,745,185,55.8,1.623
Combat Service Support,Army National Guard,Female,1366,1432,870,1223,249,1070,182,1043,885,1665,705,187,58.8,1.672
Combat Support,Army National Guard,Female,1330,1384,869,1143,235,1049,166,976,841,1667,784,185,59.1,1.619
Combat Support,Army National Guard,Female,1237,1318,794,1072,235,928,167,956,858,1572,712,168,51.1,1.558
Combat Support,Army National Guard,Female,1346,1415,845,1182,244,1016,177,1017,892,1639,742,168,59.1,1.649
Combat Service Support,Army National Guard,Female,1395,1489,880,1213,263,1082,191,1025,917,1745,805,192,67.1,1.73
Combat Arms,Army National Guard,Female,1239,1304,843,1093,245,957,167,971,837,1554,730,171,52.2,1.527
Combat Support,Army National Guard,Female,1351,1436,838,1209,231,1052,182,1037,893,1711,761,185,56.5,1.67
Combat Support,Army National Guard,Female,1307,1372,1077,1114,234,1025,166,1111,836,1627,1000,256,77.4,1.583
Combat Support,Army National Guard,Female,1338,1413,963,1167,238,1069,179,1057,867,1657,885,226,73,1.643
Combat Service Support,Army National Guard,Female,1431,1483,1012,1194,252,1080,182,1072,886,1767,800,179,66.9,1.717
Combat Service Support,Army National Guard,Female,1326,1380,1000,1145,244,1076,178,1085,831,1707,945,222,71.8,1.623
Combat Service Support,Army National Guard,Female,1338,1386,860,1148,230,1028,174,1018,881,1644,810,188,59.4,1.63
Combat Service Support,Army National Guard,Female,1394,1467,925,1205,264,1095,187,1077,902,1794,808,192,68,1.71
Combat Service Support,Army National Guard,Female,1410,1465,1002,1205,257,1086,182,1110,920,1730,961,222,77.9,1.73
Combat Arms,Army National Guard,Female,1426,1476,960,1226,249,1073,184,1042,910,1686,772,177,69.5,1.725
Combat Arms,Army National Guard,Female,1380,1460,957,1212,247,1129,179,1068,873,1719,928,223,75.5,1.68
Combat Service Support,Army National Guard,Female,1374,1445,922,1214,256,1069,194,1012,857,1733,889,206,64.5,1.682
Combat Support,Army National Guard,Female,1384,1440,1157,1175,272,1110,184,1132,897,1676,1050,249,84.3,1.68
Combat Service Support,Army National Guard,Female,1516,1578,915,1354,283,1151,200,1052,918,1887,777,182,68.8,1.829
Combat Service Support,Army National Guard,Female,1370,1427,885,1175,265,1057,185,1042,866,1724,866,190,64.3,1.675
Combat Service Support,Army National Guard,Female,1428,1484,1040,1239,254,1085,190,1102,911,1745,842,186,68.9,1.727
Combat Service Support,Army National Guard,Female,1360,1394,1003,1177,247,1030,183,1035,856,1626,842,202,65.1,1.615
Combat Service Support,Army National Guard,Female,1235,1272,837,1046,227,954,171,965,806,1526,690,162,46,1.497
Combat Service Support,Army National Guard,Female,1316,1385,871,1136,229,1014,181,975,881,1585,750,188,61,1.613
Combat Support,Army National Guard,Female,1473,1522,1115,1277,264,1111,186,1117,928,1742,950,215,92.5,1.771
Combat Support,Army National Guard,Female,1301,1351,924,1133,258,1032,184,1014,853,1619,829,183,66.6,1.588
Combat Support,Army National Guard,Female,1443,1500,997,1260,267,1142,189,1084,879,1823,995,237,82.1,1.736
Combat Support,Army National Guard,Female,1360,1419,870,1185,249,1056,179,956,887,1651,767,177,59.1,1.664
Combat Support,Army National Guard,Female,1307,1350,1025,1138,247,1050,194,1075,838,1664,898,218,72.2,1.584
Combat Support,Army National Guard,Female,1423,1490,1006,1244,274,1164,213,1076,855,1848,940,243,77,1.712
Combat Support,Army National Guard,Female,1350,1415,876,1183,263,1050,193,1035,866,1753,787,182,61.7,1.658
Combat Support,Army National Guard,Female,1379,1428,933,1215,249,1124,192,1044,835,1738,812,206,68.5,1.646
Combat Support,Army Reserve,Female,1434,1487,966,1234,258,1083,200,1060,911,1785,820,197,68.9,1.723
Combat Support,Regular Army,Female,1284,1339,900,1137,227,1006,179,988,834,1618,813,206,58.7,1.578
Combat Support,Regular Army,Female,1377,1424,1040,1192,254,1087,183,1070,861,1746,845,221,74.2,1.671
Combat Support,Regular Army,Female,1308,1368,1045,1100,233,1042,185,1078,821,1676,1011,259,82,1.58
Combat Support,Regular Army,Female,1303,1366,925,1116,231,980,173,1001,861,1609,758,181,55.7,1.584
Combat Support,Army National Guard,Female,1381,1435,975,1206,246,1064,190,1050,885,1690,814,208,64.8,1.67
Combat Support,Army Reserve,Female,1300,1347,910,1122,249,1020,178,985,823,1671,770,189,56.6,1.585
Combat Service Support,Army Reserve,Female,1325,1394,952,1162,249,1023,181,1025,886,1686,809,186,58.4,1.638
Combat Support,Army Reserve,Female,1280,1388,907,1152,248,1067,188,990,827,1667,817,216,59.9,1.589
Combat Support,Regular Army,Female,1379,1421,1089,1174,245,1025,186,1050,893,1678,938,243,78.5,1.659
Combat Service Support,Regular Army,Female,1278,1330,943,1098,244,1025,186,985,803,1606,845,223,65.4,1.55
Combat Support,Regular Army,Female,1434,1493,1047,1232,266,1161,197,1069,889,1771,995,260,83.8,1.73
Combat Service Support,Regular Army,Female,1249,1285,1027,1092,227,987,165,990,805,1495,907,232,64.4,1.5
Combat Support,Regular Army,Female,1325,1405,1038,1176,265,1095,202,1143,839,1809,983,270,80.9,1.615
Combat Service Support,Regular Army,Female,1329,1400,906,1179,269,1057,194,1026,868,1670,801,205,67.7,1.645
Combat Service Support,Regular Army,Female,1440,1495,1095,1215,269,1136,205,1105,869,1811,1029,251,84.7,1.727
Combat Support,Regular Army,Female,1350,1435,1032,1225,257,1107,197,1060,840,1859,1052,293,78.1,1.667
Combat Service Support,Regular Army,Female,1244,1282,981,1020,222,931,167,990,834,1569,848,198,55.2,1.519
Combat Service Support,Army National Guard,Female,1417,1480,1113,1202,252,1125,197,1149,870,1815,955,258,83.2,1.7
Combat Service Support,Regular Army,Female,1314,1403,860,1112,253,1045,181,1056,862,1633,807,217,69.4,1.628
Combat Service Support,Regular Army,Female,1328,1383,1068,1119,244,1035,180,1090,853,1663,855,226,78.6,1.6
Combat Support,Regular Army,Female,1449,1516,1025,1255,284,1203,203,1095,871,1753,969,250,85.1,1.747
Combat Service Support,Regular Army,Female,1293,1348,925,1098,246,1009,176,1004,855,1604,900,213,67.8,1.583
Combat Service Support,Regular Army,Female,1380,1430,927,1175,251,1067,183,995,874,1671,800,196,64.5,1.662
Combat Support,Regular Army,Female,1394,1464,873,1241,258,1145,197,1011,850,1754,720,182,61.8,1.697
Combat Service Support,Regular Army,Female,1451,1482,948,1233,269,1167,194,1042,921,1767,942,245,84.3,1.732
Combat Arms,Regular Army,Female,1328,1408,982,1175,268,1107,190,1152,842,1739,1015,265,79.3,1.647
Combat Service Support,Regular Army,Female,1300,1367,1029,1110,249,1105,186,1065,805,1689,1019,275,72.7,1.589
Combat Service Support,Regular Army,Female,1262,1324,965,1108,257,1004,184,1051,811,1649,829,209,64.5,1.545
Combat Support,Regular Army,Female,1389,1449,1028,1178,257,1143,185,1106,822,1761,937,234,75.5,1.659
Combat Support,Regular Army,Female,1228,1300,891,1067,241,1020,176,985,814,1558,885,207,55.5,1.522
Combat Support,Army National Guard,Female,1368,1435,997,1166,255,1092,196,1087,854,1768,816,209,77.9,1.651
Combat Support,Regular Army,Female,1441,1515,1016,1259,259,1152,194,1040,911,1780,922,213,76.3,1.767
Combat Service Support,Regular Army,Female,1319,1373,1008,1130,246,1077,178,1017,848,1619,965,255,78.5,1.608
Combat Support,Regular Army,Female,1335,1392,997,1162,256,1098,196,1047,809,1750,931,226,71.7,1.605
Combat Service Support,Regular Army,Female,1420,1494,902,1232,248,1115,181,1036,909,1756,895,214,67.4,1.734
Combat Service Support,Army National Guard,Female,1373,1413,972,1174,249,1071,186,983,915,1664,829,199,73,1.661
Combat Service Support,Army National Guard,Female,1335,1376,960,1146,235,1076,176,1033,828,1612,980,249,75.4,1.589
Combat Support,Regular Army,Female,1432,1483,912,1229,260,1148,179,1050,918,1649,800,185,77.6,1.741
Combat Support,Regular Army,Female,1352,1427,1079,1193,251,1077,183,1087,866,1702,1012,265,81,1.67
Combat Support,Regular Army,Female,1382,1447,865,1187,253,1090,183,991,874,1674,801,184,66.7,1.68
Combat Service Support,Regular Army,Female,1418,1482,957,1236,259,1140,183,1076,946,1738,915,216,79.1,1.736
Combat Support,Regular Army,Female,1380,1445,990,1158,252,1140,191,1072,850,1811,937,236,76.3,1.682
Combat Service Support,Regular Army,Female,1410,1464,936,1209,260,1086,197,1077,891,1757,811,190,65,1.714
Combat Support,Regular Army,Female,1250,1309,856,1101,242,960,176,935,843,1550,691,184,51.3,1.546
Combat Support,Regular Army,Female,1338,1409,917,1173,243,1058,182,995,857,1706,813,175,59.1,1.634
Combat Support,Regular Army,Female,1290,1334,930,1130,242,1037,171,1016,838,1572,890,210,65.8,1.568
Combat Support,Regular Army,Female,1258,1310,876,1095,222,1012,176,930,805,1509,782,192,50.4,1.536
Combat Service Support,Regular Army,Female,1295,1356,962,1118,242,1039,170,1037,827,1620,927,235,68.5,1.584
Combat Service Support,Army National Guard,Female,1348,1412,882,1177,254,1105,183,1028,848,1699,874,204,62.9,1.646
Combat Support,Regular Army,Female,1354,1412,891,1175,244,1052,181,940,889,1658,765,191,56.8,1.664
Combat Service Support,Regular Army,Female,1350,1428,902,1170,244,1080,181,1050,887,1635,800,183,66.1,1.658
Combat Support,Regular Army,Female,1425,1496,910,1270,262,1103,206,1060,923,1818,734,180,68.3,1.738
Combat Service Support,Regular Army,Female,1432,1491,923,1247,266,1139,193,1080,889,1820,775,192,79.1,1.745
Combat Service Support,Regular Army,Female,1306,1366,1072,1116,255,1072,183,1109,860,1650,1061,284,90.7,1.595
Combat Support,Regular Army,Female,1331,1401,987,1140,242,1089,174,1025,846,1672,926,220,78.3,1.625
Combat Service Support,Regular Army,Female,1322,1377,967,1154,267,1054,189,1039,857,1708,865,212,70.9,1.623
Combat Support,Army National Guard,Female,1225,1284,841,1063,234,972,172,939,825,1480,752,189,50.9,1.518
Combat Service Support,Regular Army,Female,1259,1292,1008,1066,222,984,167,1010,839,1515,877,205,62.3,1.525
Combat Support,Regular Army,Female,1285,1348,919,1078,238,1009,187,970,818,1585,900,227,66.4,1.557
Combat Support,Regular Army,Female,1449,1497,1093,1224,262,1182,196,1170,882,1819,1054,275,92.1,1.73
Combat Service Support,Regular Army,Female,1325,1370,983,1129,244,1030,179,1005,856,1647,903,222,67.1,1.601
Combat Support,Regular Army,Female,1312,1369,839,1148,244,1054,179,975,837,1647,728,184,54.7,1.597
Combat Support,Regular Army,Female,1419,1483,1027,1223,254,1080,192,1070,934,1766,947,234,78.4,1.743
Combat Support,Regular Army,Female,1395,1436,925,1198,235,1069,172,991,895,1709,754,165,59,1.683
Combat Support,Regular Army,Female,1436,1501,1015,1269,257,1122,195,1082,901,1800,921,229,76.3,1.752
Combat Support,Army Reserve,Female,1328,1394,967,1152,223,1081,171,985,861,1612,851,206,70.9,1.618
Combat Support,Regular Army,Female,1355,1397,1018,1163,240,1110,173,990,880,1594,851,194,70.3,1.62
Combat Support,Army National Guard,Female,1362,1418,862,1215,243,1050,183,1005,869,1697,790,182,58.1,1.649
Combat Service Support,Regular Army,Female,1418,1491,846,1224,263,1113,182,1037,882,1785,764,179,59.3,1.709
Combat Support,Regular Army,Female,1294,1356,1044,1101,230,1055,175,996,864,1527,992,252,75.3,1.587
Combat Support,Regular Army,Female,1338,1387,917,1143,240,1008,176,1025,871,1628,816,203,66.2,1.632
Combat Support,Army National Guard,Female,1260,1317,1057,1066,227,1033,158,1006,822,1498,965,243,68.3,1.527
Combat Service Support,Army National Guard,Female,1372,1423,1034,1214,236,1062,177,1051,886,1622,975,245,75.8,1.66
Combat Service Support,Army National Guard,Female,1346,1405,864,1167,255,1082,188,1026,867,1682,734,195,61.3,1.632
Combat Service Support,Army National Guard,Female,1432,1504,942,1236,259,1099,192,1072,911,1742,820,200,73,1.742
Combat Service Support,Army Reserve,Female,1388,1469,885,1193,261,1109,189,987,907,1654,848,201,70,1.709
Combat Service Support,Army National Guard,Female,1332,1363,1048,1116,233,1042,174,1053,888,1590,925,223,75.1,1.619
Combat Support,Army National Guard,Female,1380,1443,996,1167,259,1036,197,1057,889,1728,927,227,73.8,1.675
Combat Support,Regular Army,Female,1335,1399,988,1146,244,1009,183,951,879,1620,837,182,64.2,1.634
Combat Service Support,Army National Guard,Female,1386,1444,892,1191,241,1071,183,1007,882,1724,802,186,59.5,1.679
Combat Service Support,Regular Army,Female,1314,1390,848,1145,255,1052,178,979,847,1664,846,208,56.9,1.614
Combat Service Support,Army National Guard,Female,1390,1468,861,1193,244,1103,182,1011,873,1732,778,175,59.6,1.684
Combat Service Support,Regular Army,Female,1310,1371,937,1163,247,1027,173,1035,832,1674,853,241,63.1,1.597
Combat Service Support,Regular Army,Female,1313,1389,855,1180,234,1037,170,984,869,1533,730,175,58.9,1.61
Combat Support,Regular Army,Female,1386,1455,943,1188,267,1135,195,1091,847,1773,886,238,74.6,1.688
Combat Support,Regular Army,Female,1416,1485,997,1249,273,1132,204,1095,904,1826,929,220,86.4,1.725
Combat Support,Regular Army,Female,1337,1391,936,1147,239,1066,174,1010,837,1625,900,219,60.8,1.609
Combat Support,Regular Army,Female,1289,1349,810,1116,237,968,180,899,860,1573,759,180,50.4,1.585
Combat Support,Regular Army,Female,1279,1321,887,1101,233,1024,174,936,827,1548,816,202,54.9,1.562
Combat Support,Regular Army,Female,1247,1303,897,1096,229,945,166,941,865,1500,770,189,53,1.547
Combat Support,Regular Army,Female,1308,1376,961,1149,234,1031,165,1038,889,1588,895,216,69.2,1.611
Combat Support,Regular Army,Female,1425,1505,1004,1255,248,1113,186,1057,892,1764,880,208,71.3,1.74
Combat Support,Regular Army,Female,1258,1324,972,1126,226,1057,160,1020,829,1499,904,220,70.5,1.555
Combat Support,Regular Army,Female,1362,1422,971,1125,254,1097,186,1012,856,1681,938,256,69.9,1.65
Combat Support,Regular Army,Female,1278,1352,913,1093,234,1057,177,1029,877,1579,906,223,65.9,1.583
Combat Support,Regular Army,Female,1345,1410,858,1202,253,1082,181,999,878,1665,750,188,63.2,1.647
Combat Support,Regular Army,Female,1257,1318,946,1138,236,1055,180,1035,805,1648,845,213,69.6,1.532
Combat Service Support,Regular Army,Female,1341,1391,920,1183,249,1027,183,990,846,1700,811,203,59.3,1.619
Combat Service Support,Regular Army,Female,1390,1457,902,1211,238,1096,175,1032,906,1629,888,205,69.5,1.704
Combat Service Support,Regular Army,Female,1392,1453,970,1239,238,1099,177,1061,873,1687,774,190,79.7,1.689
Combat Service Support,Regular Army,Female,1376,1429,911,1195,257,1108,182,1000,880,1695,846,204,61.9,1.657
Combat Support,Regular Army,Female,1375,1413,926,1190,253,1073,185,1009,838,1798,861,215,67.7,1.647
Combat Support,Regular Army,Female,1369,1450,892,1207,258,1055,187,977,848,1765,724,190,54.4,1.67
Combat Support,Regular Army,Female,1230,1292,971,1056,238,995,168,1030,783,1558,928,246,64.6,1.496
Combat Service Support,Regular Army,Female,1397,1464,1117,1204,269,1126,197,1120,907,1838,1026,272,88.2,1.717
Combat Support,Regular Army,Female,1247,1310,943,1073,227,995,169,1001,840,1512,915,229,63.4,1.531
Combat Support,Regular Army,Female,1366,1443,981,1157,255,1148,183,1035,857,1700,987,261,76.5,1.666
Combat Service Support,Regular Army,Female,1295,1351,892,1096,236,997,179,1027,850,1588,915,235,65.4,1.574
Combat Support,Regular Army,Female,1378,1431,1000,1157,274,1090,198,1075,906,1729,888,226,83.7,1.663
Combat Service Support,Regular Army,Female,1325,1377,975,1150,251,1036,192,1005,822,1714,863,204,65.2,1.617
Combat Service Support,Regular Army,Female,1305,1337,1005,1129,239,1040,179,1015,835,1680,857,233,62.4,1.585
Combat Support,Regular Army,Female,1381,1418,1195,1190,254,1110,185,1120,858,1702,1037,265,99.4,1.647
Combat Support,Regular Army,Female,1364,1410,1016,1193,245,1113,178,1100,860,1680,950,243,74.8,1.643
Combat Support,Regular Army,Female,1352,1440,901,1222,255,1110,191,1063,846,1799,877,235,64.9,1.677
Combat Service Support,Regular Army,Female,1364,1435,889,1245,243,1037,180,990,874,1740,665,157,54.2,1.67
Combat Service Support,Regular Army,Female,1337,1407,983,1184,254,1047,197,1079,890,1673,885,214,81.4,1.651
Combat Service Support,Regular Army,Female,1231,1287,883,1074,234,953,178,978,857,1510,812,191,56.3,1.525
Combat Service Support,Regular Army,Female,1418,1478,1152,1225,255,1120,182,1160,907,1740,1096,272,96.7,1.715
Combat Service Support,Regular Army,Female,1298,1356,1148,1083,252,1054,188,1105,868,1634,1006,273,83.7,1.602
Combat Service Support,Regular Army,Female,1258,1338,855,1111,237,959,170,964,837,1566,685,148,50.2,1.57
Combat Service Support,Regular Army,Female,1357,1421,901,1196,245,1125,176,1060,846,1704,944,256,65.7,1.662
Combat Support,Regular Army,Female,1293,1339,983,1131,237,1025,179,993,835,1579,973,245,70.7,1.561
Combat Support,Regular Army,Female,1268,1328,968,1126,236,1024,172,968,834,1574,975,240,66.9,1.543
Combat Service Support,Regular Army,Female,1263,1330,923,1140,244,1045,179,1017,813,1630,853,209,59.7,1.562
Combat Service Support,Regular Army,Female,1334,1400,897,1163,247,1119,167,1024,880,1598,885,222,72,1.627
Combat Support,Regular Army,Female,1358,1433,940,1181,247,1045,175,1105,922,1660,816,191,75,1.678
Combat Support,Regular Army,Female,1340,1381,990,1150,243,1060,177,1034,845,1595,982,242,67.3,1.608
Combat Support,Regular Army,Female,1373,1446,906,1204,271,1127,196,980,878,1702,856,215,78.4,1.672
Combat Service Support,Regular Army,Female,1356,1405,769,1185,234,1010,179,956,900,1682,710,163,51.6,1.661
Combat Service Support,Regular Army,Female,1289,1332,1010,1102,235,1040,156,1039,850,1609,890,201,63,1.574
Combat Support,Regular Army,Female,1365,1432,1046,1190,247,1076,186,1075,867,1755,990,284,79.3,1.67
Combat Support,Regular Army,Female,1275,1353,895,1108,228,969,177,1010,888,1566,793,191,56.4,1.585
Combat Support,Regular Army,Female,1279,1322,997,1145,235,1001,164,975,867,1529,962,228,68.7,1.574
Combat Support,Regular Army,Female,1323,1380,846,1188,237,1050,182,989,835,1708,727,178,59,1.617
Combat Support,Regular Army,Female,1281,1370,904,1166,246,1044,184,1040,846,1672,770,196,60.3,1.592
Combat Service Support,Regular Army,Female,1391,1433,991,1222,250,1087,179,1030,910,1701,930,231,69.9,1.705
Combat Service Support,Regular Army,Female,1338,1412,878,1178,241,1037,175,968,848,1594,849,192,57.3,1.62
Combat Support,Regular Army,Female,1293,1337,957,1175,234,1028,174,998,815,1618,882,243,65.4,1.579
Combat Support,Regular Army,Female,1364,1428,876,1204,248,1085,189,967,856,1642,749,185,60.3,1.661
Combat Support,Regular Army,Female,1287,1352,955,1086,246,1060,179,1091,860,1651,935,242,77.1,1.595
Combat Service Support,Regular Army,Female,1343,1416,1062,1186,235,1065,175,1085,892,1619,903,214,76.7,1.646
Combat Service Support,Regular Army,Female,1253,1312,932,1093,229,998,175,1014,802,1606,890,223,66.7,1.522
Combat Support,Regular Army,Female,1446,1512,928,1276,253,1150,189,1078,919,1760,900,233,78.3,1.76
Combat Support,Army National Guard,Female,1193,1270,850,1059,229,965,169,970,805,1524,752,177,51.8,1.505
Combat Arms,Regular Army,Female,1430,1480,838,1236,260,1168,189,977,867,1752,803,190,66.3,1.708
Combat Service Support,Regular Army,Female,1389,1440,938,1208,252,1132,193,1103,836,1808,861,216,65.5,1.659
Combat Support,Regular Army,Female,1318,1379,1004,1172,244,1078,180,1064,833,1658,906,226,69,1.613
Combat Support,Regular Army,Female,1365,1411,905,1207,253,1068,192,1040,878,1758,870,218,68,1.666
Combat Arms,Regular Army,Female,1282,1331,918,1132,243,1090,177,1000,818,1616,860,200,60.9,1.565
Combat Support,Regular Army,Female,1299,1359,859,1143,245,1036,175,988,816,1629,785,218,64.6,1.578
Combat Support,Regular Army,Female,1225,1283,880,1077,238,999,184,960,762,1582,770,190,54,1.48
Combat Support,Regular Army,Female,1337,1392,829,1192,223,1029,176,959,853,1678,756,172,53,1.636
Combat Service Support,Regular Army,Female,1314,1390,945,1147,258,1103,187,1119,807,1705,901,218,78.9,1.608
Combat Service Support,Regular Army,Female,1275,1333,825,1174,225,983,166,943,782,1627,658,182,43.1,1.552
Combat Support,Regular Army,Female,1284,1332,985,1131,259,1064,187,1080,807,1657,873,215,74.6,1.559
Combat Service Support,Regular Army,Female,1315,1364,998,1107,247,1023,188,965,833,1644,1033,271,71.2,1.595
Combat Support,Regular Army,Female,1378,1436,1016,1189,265,1079,184,1108,870,1740,863,214,72.7,1.674
Combat Support,Regular Army,Female,1350,1404,845,1188,256,1046,192,1017,887,1699,761,181,61.3,1.661
Combat Support,Army National Guard,Female,1293,1341,878,1151,247,1045,193,993,767,1701,792,226,57.4,1.55
Combat Support,Regular Army,Female,1319,1368,902,1162,242,1029,169,1028,829,1583,832,207,65.5,1.597
Combat Support,Regular Army,Female,1258,1315,884,1134,226,958,170,1022,822,1595,753,181,57.7,1.543
Combat Support,Regular Army,Female,1349,1430,837,1206,257,1072,188,1027,843,1715,760,200,58.5,1.636
Combat Support,Regular Army,Female,1289,1328,923,1121,242,965,171,982,857,1502,913,220,62.7,1.563
Combat Support,Regular Army,Female,1218,1291,905,1056,226,993,174,1036,792,1577,779,196,53.5,1.506
Combat Support,Army National Guard,Female,1394,1451,851,1240,257,1081,188,1045,876,1691,803,194,65.2,1.689
Combat Support,Regular Army,Female,1317,1355,992,1101,258,1053,176,1040,853,1585,878,198,70.2,1.6
Combat Support,Regular Army,Female,1536,1587,1021,1312,251,1188,188,1131,921,1799,1080,271,93.1,1.827
Combat Support,Regular Army,Female,1310,1382,824,1176,229,1053,173,990,790,1673,742,197,53.2,1.594
Combat Support,Army National Guard,Female,1445,1521,974,1291,272,1159,209,1156,867,1838,817,201,73.5,1.768
Combat Support,Army National Guard,Female,1370,1433,783,1212,243,1040,174,960,873,1649,759,186,55.7,1.658
Combat Support,Army National Guard,Female,1329,1393,945,1173,250,1056,188,1008,871,1652,865,222,65.5,1.629
Combat Support,Army National Guard,Female,1382,1415,975,1205,250,1050,185,1017,886,1694,855,196,69.1,1.672
Combat Support,Regular Army,Female,1468,1542,1013,1297,282,1195,210,1136,905,1933,967,250,96.5,1.783
Combat Support,Army National Guard,Female,1283,1353,970,1145,243,1028,181,1075,830,1609,992,257,70.2,1.571
Combat Service Support,Regular Army,Female,1225,1293,838,1143,243,980,175,993,787,1561,736,194,52.3,1.525
Combat Support,Army National Guard,Female,1328,1387,923,1149,254,1065,199,1033,804,1678,876,240,66,1.595
Combat Support,Regular Army,Female,1394,1464,1009,1230,248,1099,187,1102,887,1739,947,213,81.4,1.708
Combat Support,Army National Guard,Female,1486,1547,1029,1311,283,1161,194,1148,942,1862,1000,251,95.2,1.818
Combat Support,Army National Guard,Female,1396,1464,832,1235,252,1113,189,1039,861,1772,802,209,65.8,1.688
Combat Support,Army National Guard,Female,1280,1345,782,1126,234,968,178,929,824,1584,695,159,50.3,1.568
Combat Service Support,Army National Guard,Female,1252,1305,885,1107,229,973,164,975,830,1549,807,204,54.7,1.555
Combat Service Support,Regular Army,Female,1337,1412,988,1154,247,1010,174,1058,890,1653,918,226,68.8,1.645
Combat Service Support,Regular Army,Female,1345,1422,833,1159,260,1093,193,968,815,1700,750,184,60.4,1.631
Combat Support,Regular Army,Female,1299,1345,919,1145,235,994,170,1001,815,1520,881,220,66.9,1.563
Combat Support,Regular Army,Female,1296,1348,926,1137,234,993,161,982,839,1595,806,189,59.9,1.566
Combat Service Support,Army National Guard,Female,1320,1365,870,1163,244,1106,183,1002,791,1713,875,211,61.6,1.585
Combat Support,Army National Guard,Female,1245,1287,872,1079,235,955,164,942,798,1518,798,204,54.8,1.518
Combat Service Support,Army National Guard,Female,1313,1369,838,1177,252,1053,188,1004,796,1709,716,184,60.4,1.59
Combat Service Support,Regular Army,Female,1196,1254,845,1049,220,946,156,949,798,1451,829,217,51.9,1.462
Combat Service Support,Army National Guard,Female,1302,1368,930,1143,219,1007,162,1037,873,1563,943,238,64,1.599
Combat Service Support,Regular Army,Female,1391,1439,845,1219,230,1055,176,976,877,1576,834,189,66.9,1.665
Combat Service Support,Regular Army,Female,1402,1474,1007,1222,265,1111,191,1106,870,1824,958,251,79.1,1.712
Combat Service Support,Army National Guard,Female,1343,1416,908,1191,247,1066,173,1023,844,1628,796,193,59.8,1.634
Combat Service Support,Army National Guard,Female,1338,1394,975,1188,264,1066,190,1091,831,1681,865,220,73.6,1.628
Combat Service Support,Regular Army,Female,1367,1396,1080,1159,254,1128,190,1125,806,1706,1052,308,82.5,1.625
Combat Support,Regular Army,Female,1393,1450,996,1228,256,1074,193,1123,920,1787,881,200,75.6,1.718
Combat Support,Regular Army,Female,1307,1384,773,1181,249,999,180,945,850,1644,767,198,59.5,1.604
Combat Support,Army National Guard,Female,1456,1500,996,1263,258,1141,198,1041,893,1742,978,236,86.3,1.748
Combat Service Support,Army National Guard,Female,1341,1423,935,1177,263,1005,193,1067,870,1709,936,233,68.6,1.65
Combat Service Support,Regular Army,Female,1355,1433,965,1176,250,1021,180,1108,916,1680,970,241,76.3,1.679
Combat Service Support,Regular Army,Female,1360,1399,995,1193,256,1030,174,1044,836,1724,904,213,72.5,1.635
Combat Service Support,Regular Army,Female,1355,1439,862,1191,249,1095,185,1050,861,1764,783,201,63.9,1.673
Combat Service Support,Regular Army,Female,1344,1411,856,1195,237,1027,165,980,862,1654,772,171,55.9,1.643
Combat Service Support,Regular Army,Female,1404,1468,964,1229,258,1108,190,1046,860,1758,960,252,76.4,1.691
Combat Support,Regular Army,Female,1366,1431,969,1201,253,1074,187,1047,858,1722,871,198,69.9,1.672
Combat Service Support,Regular Army,Female,1335,1410,839,1161,239,1042,178,1034,886,1634,825,182,63,1.638
Combat Service Support,Regular Army,Female,1345,1434,803,1204,259,1020,195,1021,895,1725,734,182,60.6,1.676
Combat Service Support,Army National Guard,Female,1360,1417,918,1181,257,1061,190,1030,866,1692,852,203,68,1.655
Combat Service Support,Regular Army,Female,1372,1416,914,1197,258,1051,180,982,896,1654,813,191,65.4,1.675
Combat Service Support,Army National Guard,Female,1230,1288,820,1079,233,933,170,974,795,1566,765,175,53.8,1.508
Combat Service Support,Regular Army,Female,1376,1422,1006,1200,244,1086,180,1031,886,1669,955,244,73.1,1.679
Combat Service Support,Regular Army,Female,1379,1458,970,1217,253,1122,186,1099,899,1730,882,210,76.6,1.692
Combat Service Support,Regular Army,Female,1323,1393,882,1166,242,1027,176,948,867,1593,800,198,57.7,1.631
Combat Service Support,Army National Guard,Female,1240,1305,909,1116,235,945,178,981,847,1531,827,194,59.8,1.533
Combat Service Support,Army National Guard,Female,1278,1339,996,1105,233,1002,172,1030,828,1550,887,224,68.6,1.563
Combat Service Support,Army National Guard,Female,1363,1415,908,1185,247,1023,181,1080,870,1670,830,196,70.8,1.655
Combat Service Support,Regular Army,Female,1201,1250,786,1054,212,896,155,908,841,1414,697,189,48.8,1.496
Combat Service Support,Regular Army,Female,1475,1543,935,1303,278,1145,207,1067,900,1803,857,210,76.6,1.777
