Engine Temperature (C),Oil Pressure (psi),Vibration Level (mm/s),Mileage Since Service (km),Brake Wear (%),Battery Voltage (V),Fuel Efficiency (km/L),Driving Condition,Vehicle Type,Service Plan,Maintenance Priority
90.8,31.5,5.36,17123,90.4,12.49,7.9,Mixed,Van,Standard,Critical
92.8,36.7,6.81,19166,116.9,11.68,13.0,City,Sedan,Standard,Critical
91.8,34.5,6.25,21932,113.5,12.69,10.3,Mixed,SUV,Premium,Critical
95.2,27.4,7.41,23061,119.3,11.76,15.2,Off-road,Sedan,Standard,Critical
101.2,32.8,7.08,18076,92.3,12.28,6.9,City,Truck,Standard,Critical
88.1,40.7,4.73,10472,61.9,12.04,16.3,Highway,Sedan,Premium,Routine
106.6,24.9,6.76,22861,121.8,12.01,6.1,Mixed,Truck,Standard,Critical
90.4,40.4,4.62,9572,57.7,12.7,13.4,Highway,SUV,Basic,Routine
100.9,28.7,5.93,25778,125.7,12.29,13.7,Off-road,Sedan,Standard,Critical
106.4,22.0,7.3,24802,121.5,12.51,10.3,Off-road,SUV,Standard,Critical
96.7,31.5,5.81,17305,82.1,12.13,7.7,Mixed,Van,Basic,Critical
78.7,27.2,3.09,11516,57.5,12.18,12.6,Highway,SUV,Premium,Routine
93.3,37.5,5.88,20242,103.7,12.13,14.1,Off-road,Sedan,Standard,Critical
86.1,34.2,4.39,11263,74.5,12.22,9.1,Highway,SUV,Standard,Monitor
94.1,38.2,19.62,15820,80.8,12.3,9.0,Highway,Truck,Basic,Critical
97.5,31.7,4.39,15149,88.3,12.58,14.6,City,Sedan,Basic,Monitor
95.2,34.0,2.66,16454,79.2,12.23,9.3,Highway,Van,Standard,Monitor
83.8,37.0,3.54,6418,49.8,12.55,18.6,Highway,Sedan,Premium,Routine
97.4,40.1,6.29,40398,95.2,12.35,14.4,City,Sedan,Basic,Critical
91.8,38.3,5.45,14004,74.4,12.51,15.2,City,Sedan,Premium,Routine
93.6,34.7,4.86,12621,69.1,12.45,16.6,Highway,Sedan,Standard,Routine
96.6,35.6,3.87,9666,45.5,12.8,7.8,Highway,Truck,Basic,Routine
92.1,39.1,7.44,21791,101.6,12.37,7.3,Mixed,Truck,VIP,Critical
82.2,47.4,3.54,7831,52.6,12.63,16.3,Highway,Sedan,Standard,Routine
75.9,38.8,4.47,9026,51.4,12.87,11.2,Highway,Van,VIP,Routine
96.2,32.6,6.84,16459,82.5,12.33,10.1,City,SUV,Basic,Critical
90.7,33.0,7.03,17850,103.4,12.68,3.7,City,Van,VIP,Critical
93.3,42.0,5.24,14093,73.5,12.28,13.6,City,Sedan,VIP,Routine
97.6,42.9,3.92,12235,66.7,12.23,15.2,Highway,Sedan,Standard,Routine
102.4,29.5,5.38,15766,79.6,12.6,9.1,City,Truck,Premium,Urgent
100.2,34.7,4.74,14840,81.0,12.24,15.6,Mixed,Sedan,Standard,Monitor
84.0,37.2,3.76,9518,57.9,12.71,15.5,City,Sedan,VIP,Routine
89.6,33.3,4.91,10764,75.6,12.22,17.6,Highway,Sedan,Premium,Routine
102.6,35.8,6.52,22641,129.3,12.1,9.1,Off-road,Van,Standard,Critical
90.1,40.7,2.3,14167,72.8,12.61,15.7,City,Sedan,Standard,Routine
80.2,35.3,4.06,8146,53.2,12.82,11.2,Highway,SUV,Basic,Routine
102.9,38.8,5.88,18008,105.0,11.98,14.6,Mixed,Sedan,Premium,Urgent
88.4,36.4,5.62,17024,93.5,12.73,11.2,Mixed,SUV,Standard,Urgent
99.5,36.8,4.04,14577,76.2,12.36,15.5,City,Sedan,VIP,Routine
101.0,31.6,7.85,19154,103.8,12.05,13.9,Off-road,Sedan,Standard,Critical
87.9,30.1,18.3,17456,97.0,12.52,14.8,Mixed,Sedan,Basic,Critical
101.9,40.0,5.8,17317,103.0,12.42,10.8,City,SUV,Standard,Urgent
91.3,39.9,6.73,22354,110.8,12.49,11.5,City,SUV,Standard,Critical
105.2,42.0,6.21,22967,109.7,12.18,9.7,Mixed,Van,Standard,Critical
94.5,32.0,6.39,14852,79.5,12.52,8.4,City,Van,Premium,Urgent
109.8,33.1,5.89,17730,83.1,12.26,8.6,City,Truck,Standard,Critical
94.2,36.5,4.53,18595,105.2,12.28,10.3,Mixed,SUV,VIP,Urgent
103.8,25.7,9.29,25116,133.6,11.99,14.1,Off-road,Sedan,Standard,Critical
93.1,35.7,3.3,12134,66.2,12.43,10.4,Highway,Van,Standard,Routine
92.3,29.0,5.38,21942,107.6,12.13,13.6,Mixed,Sedan,Standard,Urgent
85.7,35.5,5.62,13340,80.8,12.23,14.2,Mixed,Sedan,Standard,Monitor
92.0,40.7,4.23,11772,61.4,12.92,10.6,Highway,SUV,Basic,Routine
98.8,26.6,5.97,20164,104.4,12.22,9.1,Mixed,SUV,Basic,Critical
92.0,39.4,4.01,8259,139.3,12.61,15.5,Highway,Sedan,Standard,Routine
81.5,41.9,5.56,9305,57.6,12.46,11.7,Highway,SUV,Standard,Routine
93.5,34.3,7.44,19953,105.4,12.23,7.4,City,Truck,Basic,Critical
105.4,33.4,6.71,20243,102.3,12.34,9.3,Off-road,SUV,Standard,Critical
94.5,41.2,4.69,12510,75.1,12.0,10.1,City,SUV,Standard,Monitor
107.3,29.6,7.61,28886,131.4,12.12,8.4,Off-road,Van,Basic,Critical
101.4,36.9,5.26,17334,89.0,12.26,14.0,Mixed,Sedan,Premium,Monitor
108.6,31.9,6.57,16919,87.2,12.24,12.3,City,SUV,Standard,Critical
104.0,40.2,5.68,12106,76.2,12.07,12.2,City,SUV,VIP,Monitor
98.4,39.7,6.28,13707,82.8,12.27,11.5,City,SUV,VIP,Monitor
92.6,35.0,4.81,17315,92.3,12.43,15.6,City,Sedan,Basic,Monitor
100.3,30.1,5.96,15635,77.9,12.6,6.2,City,Truck,Standard,Critical
93.2,39.6,4.14,10597,53.2,12.64,16.1,Highway,Sedan,Standard,Routine
94.3,34.6,4.88,16408,87.0,12.6,13.8,Mixed,Sedan,Basic,Monitor
103.8,34.8,6.55,20952,103.5,12.61,13.1,Mixed,Sedan,Basic,Critical
97.7,42.4,3.84,12040,65.1,12.34,7.9,Highway,Truck,Standard,Routine
92.7,39.2,6.33,11075,58.3,12.29,7.1,City,Truck,Standard,Monitor
102.2,29.7,7.15,27450,144.2,12.2,14.1,Off-road,Sedan,Standard,Critical
97.4,30.8,5.48,10507,72.0,12.47,15.8,City,Sedan,Standard,Monitor
97.4,29.4,5.22,16733,95.6,12.19,13.8,Mixed,Sedan,Basic,Urgent
90.6,38.9,7.09,24416,127.4,12.09,11.8,City,Sedan,Basic,Critical
88.1,38.0,5.63,18011,93.2,12.3,15.1,Mixed,Sedan,Premium,Monitor
95.9,38.5,4.41,16366,81.3,12.52,15.2,City,Sedan,Premium,Routine
89.1,27.7,7.48,15998,77.7,12.0,10.5,City,SUV,Basic,Critical
94.4,31.0,6.18,25996,126.0,12.0,14.8,Mixed,Sedan,Premium,Critical
91.7,34.7,5.1,10759,67.9,12.88,8.6,City,Truck,Basic,Monitor
88.7,31.9,5.76,19511,107.2,11.82,9.6,Mixed,SUV,Premium,Critical
91.8,39.2,4.6,14652,66.0,12.25,16.1,City,Sedan,Premium,Routine
88.1,35.8,7.05,15168,74.1,12.27,8.0,Mixed,Truck,Standard,Urgent
106.0,36.0,5.44,20479,98.5,12.58,14.7,Mixed,Sedan,Standard,Urgent
82.4,33.9,4.34,16088,77.9,11.97,8.9,Highway,Truck,Standard,Monitor
97.7,41.4,4.96,22199,112.7,12.42,14.8,Mixed,Sedan,Basic,Urgent
98.5,34.8,5.96,23689,118.6,11.92,10.0,Mixed,SUV,Standard,Critical
98.2,40.1,4.42,22613,114.4,12.11,11.7,Mixed,SUV,Premium,Urgent
88.2,43.1,5.98,15128,81.9,12.1,13.7,City,Sedan,Standard,Monitor
103.1,39.6,4.21,15631,83.4,12.37,14.7,City,Sedan,Standard,Monitor
87.4,45.7,5.81,10351,42.0,12.65,8.3,Highway,Truck,VIP,Routine
98.4,31.2,6.89,19343,97.6,12.18,9.2,Mixed,SUV,Premium,Critical
77.7,36.2,4.71,12553,67.5,12.48,16.6,Highway,Sedan,Premium,Routine
94.9,43.0,3.92,9581,54.1,12.73,16.3,Highway,Sedan,Basic,Routine
86.8,27.2,4.5,6776,47.7,12.93,6.8,Highway,Truck,Basic,Routine
101.8,30.4,6.75,22290,114.7,12.32,12.9,Off-road,Sedan,Standard,Critical
101.8,31.4,5.45,24760,117.3,12.3,10.2,Mixed,SUV,Basic,Critical
91.4,33.4,4.14,16452,89.0,12.22,14.5,Mixed,Sedan,Standard,Monitor
97.9,41.2,7.68,22203,104.6,12.26,10.2,City,SUV,Standard,Critical
84.0,50.1,3.42,9259,47.0,12.36,15.5,Highway,Sedan,Standard,Routine
95.6,35.8,5.57,15875,89.2,12.44,16.1,City,Sedan,VIP,Monitor
93.9,38.0,3.02,9067,57.3,12.44,16.5,Highway,Sedan,Basic,Routine
82.3,42.0,3.93,18214,91.7,11.97,15.1,City,Sedan,Standard,Routine
100.8,12.5,6.84,17069,96.2,12.59,8.5,City,Truck,Basic,Critical
85.2,30.7,8.09,38087,175.0,12.01,12.1,Off-road,Sedan,Standard,Critical
87.7,41.3,6.61,21324,111.3,12.06,14.7,City,Sedan,VIP,Urgent
95.1,36.7,6.83,12061,76.2,12.37,7.5,City,Truck,Basic,Urgent
101.8,22.3,8.61,28537,140.4,12.15,7.5,Off-road,Van,Standard,Critical
89.1,48.7,3.95,10774,51.9,12.22,15.8,Highway,Sedan,Basic,Routine
86.5,41.8,3.83,17893,88.4,12.54,14.4,City,Sedan,VIP,Routine
95.1,34.9,16.67,14424,75.5,12.24,8.8,City,Van,Basic,Critical
92.2,40.1,3.85,12471,69.2,12.3,13.2,City,Sedan,Standard,Routine
87.9,37.9,8.34,19075,103.7,12.16,8.2,Mixed,Truck,VIP,Critical
87.0,37.0,4.2,12616,61.6,12.69,10.5,Highway,Truck,Premium,Routine
88.5,38.7,3.55,15545,80.4,12.11,16.4,Highway,Sedan,Basic,Routine
81.3,34.7,2.19,11118,61.8,12.33,15.4,Highway,Sedan,Standard,Routine
110.0,32.4,7.66,19331,112.3,11.73,7.6,Off-road,Van,VIP,Critical
85.9,34.4,7.04,15848,85.9,12.39,7.2,Mixed,Van,Standard,Critical
95.7,39.7,5.01,68167,76.8,12.44,8.1,City,Van,Standard,Critical
101.4,36.2,4.85,19444,112.9,11.74,10.0,City,SUV,Standard,Critical
94.2,36.2,3.23,14890,72.6,12.49,12.6,Highway,SUV,Standard,Routine
100.0,33.7,6.0,25816,121.4,12.27,14.7,Off-road,Sedan,Standard,Critical
85.6,44.5,4.26,7797,52.2,12.42,15.0,Highway,Sedan,VIP,Routine
89.5,40.5,7.04,17943,86.3,12.32,14.8,City,Sedan,VIP,Monitor
84.4,38.9,3.59,7055,46.3,12.34,15.5,Highway,Sedan,Standard,Routine
99.8,26.0,5.97,23161,110.5,12.05,13.8,Off-road,Sedan,Standard,Critical
92.2,34.4,4.47,10036,62.5,12.41,16.0,Highway,Sedan,Standard,Routine
101.6,31.2,5.68,20419,110.3,12.34,8.0,Mixed,Truck,VIP,Critical
83.9,46.1,4.83,6889,37.1,12.46,11.8,Highway,SUV,Basic,Routine
77.0,31.2,3.54,10509,56.3,12.58,13.6,Highway,SUV,VIP,Routine
97.5,30.5,15.81,15976,77.2,12.54,8.7,City,Truck,VIP,Critical
89.4,32.6,2.81,7720,45.1,12.44,12.0,Highway,SUV,Premium,Routine
81.2,38.7,3.43,13876,67.9,12.66,17.8,City,Sedan,Premium,Routine
92.4,36.3,4.32,15780,78.8,12.41,14.4,City,Sedan,Basic,Monitor
95.6,34.9,5.42,18416,96.8,11.82,6.6,Mixed,Truck,Standard,Critical
91.0,40.5,5.62,15442,84.7,9.95,6.8,Mixed,Truck,Basic,Critical
82.3,37.0,2.76,16138,72.3,12.35,15.2,Highway,Sedan,Basic,Routine
94.1,30.2,6.3,16705,88.2,12.79,12.3,City,SUV,Basic,Urgent
91.6,35.9,6.72,22668,116.8,12.02,13.9,City,Sedan,Standard,Critical
107.6,32.1,15.81,21177,111.3,12.16,9.9,Off-road,Van,Standard,Critical
98.8,39.0,4.88,19946,88.9,12.36,12.2,City,SUV,Premium,Monitor
102.4,19.1,7.06,23783,124.7,12.55,4.9,Off-road,Truck,Standard,Critical
91.4,41.2,3.0,5861,40.1,12.73,5.5,Highway,Sedan,Premium,Routine
95.4,35.4,8.14,17973,95.7,12.33,7.7,Mixed,Van,Basic,Critical
101.6,35.5,8.33,18327,92.1,12.52,7.7,Mixed,Van,Standard,Critical
101.7,37.5,4.3,10513,61.0,12.29,10.1,Highway,Van,Basic,Routine
98.5,29.9,6.31,19665,117.7,12.21,12.8,Off-road,Sedan,Standard,Critical
95.6,38.1,5.57,23601,115.8,12.15,14.0,City,Sedan,Standard,Urgent
94.2,22.8,7.08,23915,134.4,12.22,9.8,City,SUV,Standard,Critical
85.4,41.0,4.73,13888,84.8,12.26,10.6,Mixed,SUV,Standard,Monitor
99.3,31.6,7.18,23248,122.3,12.38,5.6,Off-road,Truck,Basic,Critical
102.0,35.8,6.1,12800,70.8,12.54,10.4,City,Van,VIP,Monitor
111.1,33.0,8.1,23304,120.5,11.96,9.1,Off-road,SUV,Standard,Critical
85.4,32.0,6.24,18638,93.5,12.26,9.8,Mixed,SUV,Standard,Urgent
99.4,34.3,5.23,11940,70.4,12.66,9.0,City,SUV,Premium,Monitor
97.5,43.1,1.72,10868,51.1,12.64,17.3,Highway,Sedan,Premium,Routine
92.1,33.6,6.43,11661,57.9,12.58,8.9,City,Van,Standard,Monitor
96.5,34.2,4.78,18512,97.4,12.04,7.1,City,Truck,Basic,Critical
87.2,43.4,6.17,20978,111.8,12.19,9.1,City,Van,Standard,Critical
94.9,40.2,4.22,20680,102.4,12.9,7.3,Highway,Truck,Basic,Monitor
92.0,29.7,5.88,18295,100.0,12.61,7.6,Mixed,Truck,Basic,Critical
102.2,33.5,6.25,17537,84.3,12.39,9.5,City,SUV,Standard,Critical
95.8,35.6,6.66,18218,88.5,12.38,7.7,City,Truck,Basic,Critical
88.9,39.2,6.88,15669,88.6,12.5,7.0,City,Truck,Basic,Critical
91.4,42.0,6.41,17548,85.3,12.32,10.7,City,SUV,Basic,Urgent
90.5,43.0,4.69,12265,65.9,12.67,12.2,Highway,SUV,Basic,Routine
86.0,35.0,4.52,15610,93.3,12.56,13.7,City,Sedan,Standard,Routine
93.7,38.1,7.79,14881,88.1,12.33,7.8,Mixed,Truck,Standard,Critical
92.1,46.9,4.07,7575,43.5,12.92,14.8,Highway,Sedan,Basic,Routine
90.0,29.7,5.49,17421,83.0,12.26,10.0,City,Van,Basic,Urgent
94.9,40.3,3.86,10703,70.4,12.8,15.3,Highway,Sedan,Premium,Routine
102.2,39.8,4.75,21855,100.7,12.41,12.2,City,SUV,Basic,Urgent
93.2,26.9,6.56,20309,110.2,12.19,13.0,Mixed,Sedan,VIP,Critical
97.2,46.9,6.04,18138,91.8,12.16,8.4,City,Truck,Standard,Urgent
92.9,31.2,8.22,20961,106.0,12.31,13.1,Off-road,Sedan,Premium,Critical
88.6,31.6,3.34,14956,78.4,12.54,15.5,City,Sedan,Premium,Routine
101.3,32.9,5.54,13585,78.2,12.08,9.0,Highway,Truck,Standard,Urgent
96.6,42.0,21.93,5946,39.7,12.65,18.0,Highway,Sedan,Premium,Urgent
91.8,37.8,4.41,16389,134.9,12.22,8.5,City,SUV,Standard,Critical
92.4,34.1,6.41,18786,91.0,12.23,7.0,Mixed,Truck,Basic,Critical
87.2,42.5,18.56,11037,63.5,12.42,17.0,Highway,Sedan,Standard,Critical
96.0,39.2,6.23,21455,105.8,12.35,9.0,Mixed,Van,Standard,Critical
90.1,39.3,6.76,15175,75.0,12.13,7.3,City,Truck,Standard,Urgent
88.1,34.5,5.15,10753,52.3,12.82,10.7,Highway,Van,Basic,Routine
89.3,34.3,4.93,20314,104.2,12.26,15.9,City,Sedan,Premium,Monitor
102.6,34.7,12.05,16186,89.4,12.04,9.1,Off-road,SUV,Premium,Critical
97.2,33.0,4.66,17649,109.4,12.01,16.2,City,Sedan,Premium,Urgent
85.4,34.4,2.83,8263,117.9,12.25,16.8,Highway,Sedan,Standard,Routine
89.7,28.6,5.84,22158,117.8,12.4,10.6,Off-road,SUV,Premium,Critical
94.3,35.4,3.39,9396,58.4,12.46,10.5,Highway,Van,Premium,Routine
93.6,6.3,6.37,13697,85.6,12.22,11.7,Mixed,SUV,Premium,Critical
90.6,37.2,6.21,18454,98.7,12.23,13.5,Mixed,Sedan,Basic,Urgent
92.7,10.7,6.48,15514,84.8,11.98,14.8,Mixed,Sedan,Standard,Critical
91.1,31.3,6.76,18485,98.7,11.95,8.0,City,Truck,Standard,Critical
98.4,40.3,6.17,10150,63.7,12.26,7.9,City,Truck,Premium,Monitor
84.5,28.8,6.38,18944,90.5,12.39,7.3,City,Truck,Standard,Critical
86.2,41.8,3.56,10725,54.4,12.71,11.4,Highway,SUV,Basic,Routine
100.1,36.3,7.06,27721,137.2,12.1,14.6,Off-road,Sedan,Premium,Critical
95.1,27.4,5.99,18480,97.1,12.28,14.6,Mixed,Sedan,Basic,Critical
106.6,38.7,7.23,25304,123.9,12.2,12.2,Off-road,Sedan,Standard,Critical
85.6,31.9,5.08,14110,78.0,11.96,15.0,Mixed,Sedan,VIP,Monitor
106.1,30.2,5.83,17100,87.4,12.04,13.8,Mixed,Sedan,Standard,Urgent
84.2,52.1,2.23,9091,58.4,12.46,16.6,Highway,Sedan,Premium,Routine
78.5,39.9,5.25,21350,97.0,12.41,14.0,City,Sedan,Basic,Monitor
101.7,32.9,6.0,18228,95.1,12.04,9.9,Mixed,Van,Basic,Critical
106.3,32.4,7.89,21174,109.6,12.24,7.8,Off-road,Van,Premium,Critical
98.3,23.5,6.31,21979,115.2,11.98,16.1,City,Sedan,Premium,Critical
87.4,33.3,5.63,17455,93.5,12.16,6.4,City,Truck,Premium,Critical
80.3,35.9,4.25,9683,59.1,12.42,11.5,Highway,SUV,Standard,Routine
93.6,37.2,20.94,14220,80.7,12.55,8.5,City,Truck,Standard,Critical
92.8,40.8,3.86,9837,53.2,12.8,7.8,Highway,Truck,Standard,Routine
93.6,36.5,4.73,18611,90.6,12.35,13.8,Mixed,Sedan,Standard,Urgent
81.7,39.3,3.28,14531,80.9,12.58,12.4,Highway,SUV,Standard,Routine
95.5,39.0,4.09,16829,84.7,12.46,15.5,City,Sedan,Basic,Monitor
92.9,40.4,5.62,17160,83.3,12.59,12.2,City,SUV,Premium,Monitor
85.1,47.7,5.66,8950,58.4,12.52,11.4,Highway,SUV,Basic,Routine
95.7,35.3,3.53,19916,95.9,12.22,13.2,City,Sedan,Standard,Urgent
90.0,31.9,5.43,23065,124.3,12.28,10.5,City,SUV,Standard,Critical
91.5,34.9,5.53,20671,106.7,12.12,17.4,City,Sedan,Basic,Urgent
91.1,34.6,5.79,14122,84.0,11.89,11.3,City,Van,VIP,Urgent
100.4,31.8,5.92,24619,127.0,12.15,12.0,Off-road,Sedan,Basic,Critical
96.0,37.1,4.11,17828,92.5,12.41,7.5,Highway,Truck,Standard,Monitor
83.4,32.4,4.4,17127,88.4,12.28,15.1,City,Sedan,Basic,Monitor
93.9,41.8,5.26,17542,91.3,12.44,11.4,Mixed,SUV,Standard,Monitor
90.1,38.5,7.18,17273,93.7,12.41,9.8,Mixed,SUV,Standard,Critical
86.2,47.6,3.63,5049,27.6,12.99,12.4,Highway,SUV,Premium,Routine
103.3,40.3,5.49,13770,81.7,12.38,14.6,Mixed,Sedan,VIP,Monitor
104.3,27.5,5.79,18159,98.9,11.88,10.0,Mixed,SUV,Basic,Critical
104.0,35.8,5.18,13367,79.5,12.15,8.6,City,Van,Standard,Urgent
99.7,30.4,6.4,17609,95.9,12.2,10.4,Mixed,SUV,VIP,Critical
91.3,49.2,5.05,13944,76.8,12.57,12.3,Highway,SUV,Basic,Routine
98.4,31.0,5.04,19516,100.2,12.27,15.1,City,Sedan,Standard,Urgent
104.1,30.0,4.84,12068,64.1,12.14,9.0,City,Truck,Standard,Urgent
96.1,31.5,7.97,13213,68.8,12.34,5.5,Mixed,Truck,VIP,Critical
91.1,39.2,5.61,17538,91.9,12.33,10.2,City,SUV,Standard,Urgent
91.5,27.3,6.0,17787,89.7,12.29,13.6,Mixed,Sedan,Basic,Urgent
104.5,30.8,7.5,25798,140.8,11.85,8.4,Off-road,Van,Premium,Critical
107.5,34.4,6.69,22031,103.6,12.04,9.8,Mixed,SUV,Basic,Critical
86.9,32.3,4.44,10207,52.5,12.58,12.9,Highway,SUV,Basic,Routine
100.3,31.5,6.09,19743,102.6,12.07,6.8,Mixed,Van,Standard,Critical
108.1,36.2,5.94,63773,92.1,12.15,7.9,City,Truck,Basic,Critical
107.9,28.9,6.22,49242,147.8,12.05,10.4,Off-road,SUV,VIP,Critical
97.2,35.3,4.78,21303,106.5,11.89,15.9,Highway,Sedan,Premium,Urgent
101.5,44.0,4.64,11694,64.4,12.43,13.0,Highway,SUV,Premium,Routine
89.2,47.4,4.85,12695,66.4,12.39,15.5,Highway,Sedan,Basic,Routine
100.1,25.1,8.43,12200,75.5,12.38,14.3,Off-road,Sedan,VIP,Critical
91.2,43.7,4.98,13649,86.8,12.47,14.7,City,Sedan,Premium,Routine
91.4,35.5,13.56,7793,108.3,12.17,15.9,Highway,Sedan,Basic,Critical
107.2,40.0,6.54,22881,116.9,12.85,9.4,Off-road,SUV,Premium,Critical
96.0,48.3,4.75,18174,90.3,12.58,7.3,City,Truck,Premium,Monitor
95.4,37.7,3.85,13451,63.2,12.48,15.3,City,Sedan,Premium,Routine
90.0,32.9,5.69,17556,95.4,12.13,8.9,Mixed,Van,VIP,Urgent
100.6,34.1,3.65,13233,80.2,12.32,16.1,City,Sedan,Standard,Monitor
90.7,31.5,6.04,19625,95.1,11.84,15.7,City,Sedan,Basic,Urgent
102.6,35.1,5.4,15326,79.4,12.5,10.2,City,Van,Premium,Monitor
92.0,35.1,5.95,21446,106.8,12.24,11.6,Mixed,SUV,Basic,Critical
80.0,35.6,7.97,20737,105.3,12.51,13.8,Off-road,Sedan,Standard,Critical
93.8,36.3,6.53,14911,79.2,12.56,10.5,Mixed,SUV,Basic,Urgent
99.4,28.5,6.49,20868,112.2,11.81,8.7,Mixed,SUV,Standard,Critical
84.2,40.2,5.98,14881,80.6,12.41,11.5,Mixed,SUV,VIP,Monitor
86.5,31.0,4.5,19459,96.6,12.47,10.5,City,SUV,Standard,Urgent
95.9,25.8,3.62,20235,106.2,12.46,6.6,City,Truck,Standard,Critical
86.7,40.8,4.66,20756,101.6,12.53,10.9,Mixed,SUV,Basic,Urgent
105.0,30.4,8.87,21195,105.6,12.11,5.8,Off-road,Truck,Standard,Critical
98.8,45.4,5.75,19218,93.6,12.47,10.8,Mixed,SUV,Standard,Urgent
81.2,36.7,4.9,11266,64.9,12.32,16.1,Highway,Sedan,Basic,Routine
95.6,38.0,5.23,18241,103.1,12.12,16.1,City,Sedan,Premium,Monitor
88.1,39.2,3.8,14671,71.4,12.69,16.3,Highway,Sedan,Premium,Routine
93.3,34.5,7.1,19747,106.9,12.16,13.5,Mixed,Sedan,Standard,Critical
107.4,39.1,5.96,20058,101.9,11.78,13.7,Mixed,Sedan,Standard,Critical
98.9,41.6,3.57,6905,44.6,12.29,11.4,Highway,SUV,Standard,Routine
85.3,39.8,3.94,13192,67.5,12.61,12.2,Highway,SUV,VIP,Routine
98.9,34.7,8.31,23728,119.0,12.31,13.8,Off-road,Sedan,VIP,Critical
96.5,38.8,4.6,20871,107.9,12.25,11.8,Highway,SUV,Standard,Urgent
90.4,47.5,2.93,11309,60.5,12.33,15.6,Highway,Sedan,Basic,Routine
90.7,42.2,2.86,8922,54.0,12.78,12.8,Highway,SUV,Basic,Routine
101.9,13.8,4.27,17276,87.5,12.22,9.1,Highway,Truck,Standard,Critical
92.9,40.2,3.53,9379,50.7,12.51,10.7,Highway,SUV,Basic,Routine
99.7,32.0,6.01,14239,78.7,12.38,8.8,City,Van,Basic,Urgent
105.6,38.3,8.08,19545,123.6,12.31,9.8,Off-road,SUV,Standard,Critical
90.3,30.4,6.73,17406,94.6,12.32,7.3,Mixed,Truck,Premium,Critical
102.6,35.8,7.31,17929,91.2,11.74,6.6,City,Truck,Basic,Critical
98.3,37.7,6.67,20184,111.0,12.3,14.4,Off-road,Sedan,Basic,Critical
86.8,32.5,5.17,9822,52.1,12.67,14.4,Highway,Sedan,Standard,Routine
80.5,37.7,3.31,15822,79.8,12.56,15.0,Highway,Sedan,Standard,Routine
122.5,29.6,8.73,22980,124.4,11.92,9.4,Off-road,SUV,Premium,Critical
96.8,31.4,3.27,14565,75.6,12.31,14.0,City,Sedan,Basic,Monitor
87.5,31.8,4.91,21010,103.3,12.2,14.8,City,Sedan,Standard,Urgent
87.8,37.9,3.35,15672,77.1,12.41,11.7,Highway,SUV,Basic,Routine
97.2,33.2,6.96,18699,99.8,12.51,7.4,Off-road,Van,Basic,Critical
101.3,32.4,5.33,14533,74.0,12.49,11.4,City,SUV,Premium,Monitor
82.3,42.6,3.72,10521,42.1,12.99,14.7,Highway,Sedan,Basic,Routine
106.0,30.1,3.96,13444,73.3,12.4,8.5,City,Truck,Standard,Urgent
92.1,39.9,6.19,18873,100.2,12.24,14.6,City,Sedan,Basic,Urgent
92.3,36.2,3.8,11534,59.9,12.71,16.1,Highway,Sedan,VIP,Routine
75.6,36.5,3.46,15641,77.1,12.73,11.9,Highway,SUV,Standard,Routine
86.1,31.8,7.27,17375,90.0,12.56,8.4,City,Van,Standard,Critical
91.1,31.9,4.01,5338,36.7,12.27,3.4,Highway,Sedan,Basic,Routine
96.6,35.2,6.8,17259,90.9,12.36,14.8,Mixed,Sedan,Standard,Urgent
93.5,29.0,5.19,12589,68.1,12.78,10.2,City,Van,Premium,Monitor
97.5,36.4,6.71,18998,102.1,12.7,14.6,Mixed,Sedan,Basic,Urgent
92.0,44.5,5.22,21227,113.2,12.06,14.7,City,Sedan,Standard,Monitor
99.7,33.6,6.99,28981,143.2,12.28,10.6,Off-road,SUV,Basic,Critical
97.4,28.0,6.14,14122,81.7,12.21,14.9,Mixed,Sedan,Standard,Urgent
94.5,29.1,4.79,22126,110.9,11.91,11.7,Mixed,SUV,Basic,Critical
91.6,40.2,5.65,15639,86.7,12.13,9.6,Mixed,Van,Premium,Urgent
94.5,31.9,7.84,19790,95.0,12.3,13.7,Off-road,Sedan,Standard,Critical
96.2,37.9,7.25,21823,111.0,12.56,10.9,Mixed,SUV,Basic,Critical
83.8,28.9,6.67,18682,100.6,11.87,7.9,City,SUV,Standard,Critical
95.4,31.0,5.39,22781,113.6,12.02,13.2,Mixed,Sedan,Standard,Critical
105.5,31.6,7.09,18311,103.3,12.35,13.9,Mixed,Sedan,VIP,Critical
91.5,33.6,6.26,13070,75.5,12.24,11.3,City,SUV,Basic,Monitor
88.6,36.5,3.74,7412,49.0,11.91,16.5,Highway,Sedan,Standard,Routine
102.2,32.2,6.28,24617,131.2,12.38,14.4,Off-road,Sedan,VIP,Critical
96.8,29.6,7.38,25170,129.5,12.09,13.9,Off-road,Sedan,Standard,Critical
97.2,36.2,6.47,17872,88.9,12.27,8.3,City,Truck,Basic,Critical
83.3,41.2,3.44,12607,61.6,12.26,8.2,Highway,Truck,Standard,Routine
93.7,47.6,2.66,18848,105.0,12.44,15.7,Highway,Sedan,Premium,Routine
88.8,33.7,4.55,15181,77.3,12.61,10.9,City,Van,Standard,Monitor
83.9,38.4,3.96,10657,58.9,12.34,15.6,Highway,Sedan,Standard,Routine
93.9,35.6,8.03,20187,91.6,9.67,7.1,Mixed,Truck,Premium,Critical
